engine,experiment,fidelity,m,shots,seed,logical_qubits,instance_circuit_count,transpiled_depth,accept_count,acceptance_probability,analytical_acceptance_probability,counts_json
qiskit-aer,explicit_independent_swap_test,0.99,1,16384,20260904,3,1,4,16311,0.99554443359375,0.995,"{""0"": 16311, ""1"": 73}"
qiskit-aer,explicit_independent_swap_test,0.99,2,16384,20260905,6,2,4,16257,0.99224853515625,0.990025,"{""00"": 16257, ""01"": 58, ""10"": 69}"
qiskit-aer,explicit_independent_swap_test,0.99,4,16384,20260907,12,4,4,16085,0.98175048828125,0.9801495006250001,"{""0000"": 16085, ""0001"": 91, ""0010"": 80, ""0100"": 66, ""1000"": 62}"
qiskit-aer,explicit_independent_swap_test,0.99,8,16384,20260911,24,8,4,15736,0.96044921875,0.960693043575437,"{""00000000"": 15736, ""00000001"": 70, ""00000010"": 85, ""00000011"": 1, ""00000100"": 77, ""00001000"": 79, ""00001001"": 1, ""00010000"": 81, ""00010010"": 1, ""00100000"": 85, ""01000000"": 92, ""01100000"": 2, ""10000000"": 73, ""10100000"": 1}"
qiskit-basic,composed_candidate_m1_reference,N/A,1,4096,20260903,9,1,22,4096,1.0,1.0,"{""000"": 4096}"
qiskit-aer,composed_candidate_m1_reference,N/A,1,4096,20260903,9,1,22,4096,1.0,1.0,"{""000"": 4096}"
qiskit-aer,historical_composed_candidate_serial_diagnostic,N/A,1,4096,20260903,9,1,22,4096,1.0,1.0,"{""all_instances_accept"": 4096, ""one_or_more_reject"": 0}"
qiskit-aer,historical_composed_candidate_serial_diagnostic,N/A,2,4096,20260903,9,2,22,4096,1.0,1.0,"{""all_instances_accept"": 4096, ""one_or_more_reject"": 0}"
qiskit-aer,historical_composed_candidate_serial_diagnostic,N/A,4,4096,20260903,9,4,22,4096,1.0,1.0,"{""all_instances_accept"": 4096, ""one_or_more_reject"": 0}"
qiskit-aer,historical_composed_candidate_serial_diagnostic,N/A,8,4096,20260903,9,8,22,4096,1.0,1.0,"{""all_instances_accept"": 4096, ""one_or_more_reject"": 0}"
