attack,attack_type,theta_radians,message_state,x1_operator,fidelity_F_G,m,acceptance_probability,detection_probability,uses_orthogonal_2_to_minus_m_special_case
Rz(0.2),near-identity rotation,0.2,+,X,0.9900332889206211,40,0.8188678573320455,0.18113214266795452,False
Rz(0.785398163397),rotation,0.7853981633974483,+,X,0.853553390593274,1,0.926776695296637,0.07322330470336302,False
Rz(0.785398163397),rotation,0.7853981633974483,+,X,0.853553390593274,2,0.8589150429449555,0.14108495705504454,False
Rz(0.785398163397),rotation,0.7853981633974483,+,X,0.853553390593274,4,0.7377350509971348,0.26226494900286523,False
Rz(0.785398163397),rotation,0.7853981633974483,+,X,0.853553390593274,8,0.5442530054697449,0.45574699453025513,False
Rz(0.785398163397),rotation,0.7853981633974483,+,X,0.853553390593274,16,0.2962113339628502,0.7037886660371497,False
Rz(0.785398163397),rotation,0.7853981633974483,+,X,0.853553390593274,32,0.08774115436805117,0.9122588456319488,False
Rz(0.785398163397),rotation,0.7853981633974483,+,X,0.853553390593274,40,0.04775338696819671,0.9522466130318032,False
Rz(1.57079632679),rotation,1.5707963267948966,+,X,0.5000000000000002,1,0.7500000000000001,0.2499999999999999,False
Rz(1.57079632679),rotation,1.5707963267948966,+,X,0.5000000000000002,2,0.5625000000000002,0.4374999999999998,False
Rz(1.57079632679),rotation,1.5707963267948966,+,X,0.5000000000000002,4,0.3164062500000002,0.6835937499999998,False
Rz(1.57079632679),rotation,1.5707963267948966,+,X,0.5000000000000002,8,0.10011291503906262,0.8998870849609374,False
Rz(1.57079632679),rotation,1.5707963267948966,+,X,0.5000000000000002,16,0.010022595757618573,0.9899774042423815,False
Rz(1.57079632679),rotation,1.5707963267948966,+,X,0.5000000000000002,32,0.00010045242572063379,0.9998995475742793,False
Rz(1.57079632679),rotation,1.5707963267948966,+,X,0.5000000000000002,40,1.0056585161637561e-05,0.9999899434148384,False
Rz(3.14159265359),rotation,3.141592653589793,+,X,5.569634773813022e-33,1,0.5,0.5,True
Rz(3.14159265359),rotation,3.141592653589793,+,X,5.569634773813022e-33,2,0.25,0.75,True
Rz(3.14159265359),rotation,3.141592653589793,+,X,5.569634773813022e-33,4,0.0625,0.9375,True
Rz(3.14159265359),rotation,3.141592653589793,+,X,5.569634773813022e-33,8,0.00390625,0.99609375,True
Rz(3.14159265359),rotation,3.141592653589793,+,X,5.569634773813022e-33,16,1.52587890625e-05,0.9999847412109375,True
Rz(3.14159265359),rotation,3.141592653589793,+,X,5.569634773813022e-33,32,2.3283064365386963e-10,0.9999999997671694,True
Rz(3.14159265359),rotation,3.141592653589793,+,X,5.569634773813022e-33,40,9.094947017729282e-13,0.9999999999990905,True
