scenario,lambda_parameter,p1_physical_copies,p2_physical_copies,p3_physical_copies,total_message_copies,noise_parameter,noise_model,trials,seed_base,execution_model,physical_comparisons_per_reached_stage,s5_sample_without_replacement,s7_sample_without_replacement,analytical_final_acceptance,monte_carlo_final_acceptance,monte_carlo_s5_batch_acceptance,monte_carlo_s7_batch_acceptance,s7_reached_rate,analytical_s5_batch_acceptance,analytical_s7_batch_acceptance,false_reject_rate,undetected_attack_rate,mean_s5_fidelity,mean_s5_effective_fidelity,mean_s7_fidelity,mean_s7_effective_fidelity
alice_scenario_1,2,5,2,2,9,0.05,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,2,True,True,0.9509297119140626,0.95075,0.97325,0.95075,0.97325,0.9751562500000001,0.9751562500000001,N/A,0.95075,1.0,0.9749999999999998,1.0,0.9749999999999999
alice_scenario_1,4,9,4,4,17,0.05,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,4,True,True,0.9042673170009623,0.903,0.94725,0.903,0.94725,0.9509297119140627,0.9509297119140627,N/A,0.903,1.0,0.9749999999999998,1.0,0.9749999999999998
alice_scenario_1,8,17,8,8,33,0.05,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,8,True,True,0.8176993805961187,0.816,0.90325,0.816,0.90325,0.9042673170009622,0.9042673170009622,N/A,0.816,1.0,0.9749999999999998,1.0,0.9749999999999998
tamper_p2,1,3,1,1,5,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,1,True,True,0.5,0.49175,1.0,0.49175,1.0,1.0,0.5,N/A,0.49175,1.0,1.0,1.8202353171583768e-33,1.8202353171583768e-33
tamper_p2,2,5,2,2,9,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,2,True,True,0.25,0.253,1.0,0.253,1.0,1.0,0.25,N/A,0.253,1.0,1.0,1.8202353171583768e-33,1.8202353171583768e-33
tamper_p2,4,9,4,4,17,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,4,True,True,0.0625,0.06075,1.0,0.06075,1.0,1.0,0.0625,N/A,0.06075,1.0,1.0,1.820235317158377e-33,1.820235317158377e-33
tamper_p2,8,17,8,8,33,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,8,True,True,0.00390625,0.005,1.0,0.005,1.0,1.0,0.00390625,N/A,0.005,1.0,1.0,1.820235317158377e-33,1.820235317158377e-33
tamper_p2,1,3,1,1,5,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,1,True,True,0.502475,0.513,0.996,0.513,0.996,0.995,0.505,N/A,0.513,1.0,0.9900000000000001,1.820235317158377e-33,0.01
tamper_p2,2,5,2,2,9,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,2,True,True,0.252481125625,0.25175,0.99,0.25175,0.99,0.990025,0.255025,N/A,0.25175,1.0,0.9900000000000001,1.8202353171583768e-33,0.009999999999999998
tamper_p2,4,9,4,4,17,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,4,True,True,0.06374671879686702,0.07025,0.98025,0.07025,0.98025,0.980149500625,0.065037750625,N/A,0.07025,1.0,0.9900000000000001,1.820235317158377e-33,0.009999999999999998
